"municipality" "state" "obras" "region" "ibge_code7" "dsu_inf" "dsu_cre" "dsu_pre" "dsu_fun" "dsu_ai" "dsu_af" "ibge_code" "atu_inf" "atu_cre" "atu_pre" "atu_fun" "atu_ai" "atu_af" "tdi_fun" "tdi_ai" "tdi_af" "ideb_ai_2015" "ideb_af_2015" "area" "low_income_families2010" "poor_families2010" "transfers_fpm2016" "transfers_fundeb2016" "transfers_total2016" "partymayor" "partymayorpmdb" "partymayorpsdb" "partymayorpsd" "partymayorpp" "partymayorpsb" "partymayorpdt" "partymayorpt" "profprofessormayor" "lameduckmayor" "femalemayor" "nonwhitemayor" "agemayor" "avgpartycouncilorpmdb" "avgpartycouncilorpsdb" "avgpartycouncilorpsd" "avgpartycouncilorpp" "avgpartycouncilorpsb" "avgpartycouncilorpdt" "avgpartycouncilorpt" "avgprofprofessorcouncilor" "avgfemalecouncilor" "avgnonwhitecouncilor" "avgagecouncilor" "vtreataic_940_95" "vtreataic_944_52" "vtreataic_946_29" "vtreataic_944_15" "vtreataic_944_39" "vtreataic_942_13" "vtreataic_940_2" "vtreataic_942_67" "vtreataic_937_41" "vtreataic_941_05" "vtreataic_936_98" "vtreataic_942_44" "vtreataic_945_24" "vtreataic_938" "vtreataic_944_86" "vtreataic_945_14" "vtreataic_944_62" "vtreataic_945_47" "vtreataic_939_93"
"Itambacuri" "MG" 2 "Sudeste" 3132701 92.6 90.9 94.3 95 100 91.1 "313270" 20.4 20.9 20.1 20.8 19.9 24.7 26.3 12.5 44.2 4.6 3.7 1418.62 3592 2730 13921047.47 8086836.65 5241579.93 "PR" 0 0 0 0 0 0 0 0 0 0 1 39 0 0.181818181818182 0 0.0909090909090909 0 0.0909090909090909 0 0 0.0909090909090909 0.909090909090909 48 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1
"Itatinga" "SP" 1 "Sudeste" 3523503 82.9 66.7 88.5 96.8 96.5 97.4 "352350" 20 24.4 17.9 18.3 18.5 18 24.7 20.4 39.9 6.3 3.7 979.87 1582 877 13211399.09 11718547.8 6487121.23 "DEM" 0 0 0 0 0 0 0 0 0 0 0 51 0 0.454545454545455 0 0 0 0 0 0.0909090909090909 0.0909090909090909 0.0909090909090909 42.5454545454545 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1
"Queimada Nova" "PI" 4 "Nordeste" 2208650 66.7 50 70.6 88.9 95.3 89.5 "220865" 15.4 16 15.4 23 21.7 27.1 35.9 22.4 49.8 3.7 3.6 1499.87 1648 1420 5704351.74 5535163.58 2656047.36 "PP" 0 0 0 1 0 0 0 0 0 0 0 61 0 0 0.111111111111111 0.111111111111111 0.111111111111111 0 0.111111111111111 0 0.111111111111111 0.444444444444444 38.8888888888889 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Cuiabá" "MT" 11 "Centro-Oeste" 5103403 97.3 86.6 99.3 99.8 99.9 99.8 "510340" 24.3 29.3 21.6 24.3 23.9 26.8 7.9 5.9 17.5 5.5 4.5 3538.17 38579 23230 121897744.49 183294910.97 72990720.36 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 51 0 0.12 0.04 0.12 0.12 0 0 0.08 0 0.52 44.44 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1
"Machados" "PE" 2 "Nordeste" 2609105 23.5 33.3 20 57.4 47.5 71.4 "260910" 16.5 12.5 17.6 20.2 15.4 33.1 25 16.4 35.6 4.7 3.6 56.96 2388 1942 12099495.28 6460999.67 4236508 "PSB" 0 0 0 0 1 0 0 0 1 0 0 63 0.111111111111111 0.111111111111111 0.111111111111111 0 0.222222222222222 0 0 0 0.111111111111111 0.666666666666667 49.1111111111111 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 0 1
"Massapê do Piauí" "PI" 2 "Nordeste" 2206050 93.3 100 92.3 97 95.1 100 "220605" 17.2 17 17.3 22.5 19.6 29.6 51.5 41.7 65.5 3.9 3.7 525.62 1239 1045 5704351.74 3985436.04 2258108.82 "PP" 0 0 0 1 0 0 0 0 1 0 0 42 0 0 0 0.555555555555556 0.222222222222222 0 0.222222222222222 0.111111111111111 0.111111111111111 0.666666666666667 35.7777777777778 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1
"Pedro Régis" "PB" 1 "Nordeste" 2512721 66.7 50 70 91.1 87.5 93.9 "251272" 15.8 11 17 17.3 15.4 20.3 36.9 26.9 52.3 3.9 2.7 73.36 1188 986 6884603.08 3448665.57 2342671.73 "PSDB" 0 1 0 0 0 0 0 0 1 0 1 38 0.222222222222222 0.333333333333333 0 0 0 0.111111111111111 0 0 0 0.666666666666667 35.8888888888889 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0
"Godofredo Viana" "MA" 4 "Nordeste" 2104305 34.5 16.7 36 58.4 44.4 63.5 "210430" 11.2 10.3 11.4 18 19.7 21.8 26.2 14.8 40.7 4.5 4 640.09 1821 1451 7982643.91 7868871.24 3996207.97 "PSDB" 0 1 0 0 0 0 0 0 0 0 1 63 0 0 0 0 0 0 0 0.111111111111111 0.222222222222222 0.888888888888889 37.6666666666667 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1
"Nova Friburgo" "RJ" 1 "Sudeste" 3303401 48.8 46.2 53.2 71.1 56.2 93.2 "330340" 12.2 10.4 14.2 19.2 18.7 22.1 27.6 23.4 41.5 5.8 5.1 932.64 11917 6092 49613319.55 59964259.14 31744257.24 "PP" 0 0 0 1 0 0 0 0 0 0 0 58 0.142857142857143 0 0 0.0952380952380952 0 0.0952380952380952 0.0476190476190476 0.0952380952380952 0.0952380952380952 0.0952380952380952 48.0476190476191 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0
"São Carlos" "SP" 1 "Sudeste" 3548906 87.2 85 92.9 91.8 90.8 98 "354890" 12.9 10.3 17.7 26.8 26.6 28.2 8.5 7.7 14.2 6.5 5.8 1140.92 9965 4890 54595012.11 59505854.21 29538295.5 "PSB" 0 0 0 0 1 0 0 0 0 0 0 66 0.19047619047619 0.0952380952380952 0 0 0.19047619047619 0.0476190476190476 0 0.0952380952380952 0.0952380952380952 0.0952380952380952 44.3333333333333 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0
"Wenceslau Guimarães" "BA" 1 "Nordeste" 2933505 27.1 31.6 21.9 54.8 56.4 53.3 "293350" 21.8 26 19.5 21.3 20 26.5 46.5 37.7 60 3.1 2.9 661.79 4072 3050 14415697.06 21293120.42 8431243.11 "PRB" 0 0 0 0 0 0 0 0 0 0 1 34 0 0 0 0.0909090909090909 0.181818181818182 0 0.0909090909090909 0.181818181818182 0.181818181818182 1 39.9090909090909 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1
"Santa Rita" "MA" 6 "Nordeste" 2110203 42.7 40.7 42.3 60.2 41.9 70.5 "211020" 17.5 18.1 17.2 23.2 24.7 25.5 18.2 11.4 27.9 4.3 3.8 786.08 5710 4557 15965287.44 28623046.13 11681164.7 "PC do B" 0 0 0 0 0 0 0 0 0 0 0 50 0 0.0769230769230769 0 0 0 0.0769230769230769 0.0769230769230769 0 0 0.846153846153846 41.4615384615385 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1
"Capivari" "SP" 2 "Sudeste" 3510401 87.6 85.7 90.8 89.6 87.8 95.8 "351040" 19.7 19.1 20.1 24.2 23.7 26.5 16.1 14.6 20.8 6.2 5.1 323.2 2694 1422 24220898.03 27741264.19 13535089.56 "PSDB" 0 1 0 0 0 0 0 0 1 0 0 41 0.153846153846154 0.230769230769231 0 0 0 0 0 0 0 0.230769230769231 43.8461538461538 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1
"Jaguaribe" "CE" 2 "Nordeste" 2306900 60.5 63.6 61.4 75.5 67.5 85.5 "230690" 16.5 16.3 16.7 21.1 18.5 26.4 17.9 7.3 30.3 5.5 4.7 1876.79 6450 5256 19176883.01 22532065.85 10104863.72 "PDT" 0 0 0 0 0 1 0 0 0 0 0 62 0 0 0.153846153846154 0 0 0.0769230769230769 0.0769230769230769 0 0.0769230769230769 0.615384615384615 50.2307692307692 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Vereda" "BA" 2 "Nordeste" 2933257 35.7 0 50 56.7 40 66.1 "293325" 18.2 20.8 16.9 15.1 15.3 15.7 28 18.2 40.9 4.9 3.5 828.7 1338 1008 7207848.62 5119872.52 2848181.23 "PR" 0 0 0 0 0 0 0 0 1 0 1 51 0 0 0 0.222222222222222 0 0 0 0 0.111111111111111 0.777777777777778 48.8888888888889 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 1
"Aragarças" "GO" 1 "Centro-Oeste" 5201702 82.9 76.2 90 96.7 95.8 100 "520170" 18.1 15.5 19.7 24.1 23.1 27.8 7.8 4.6 17.6 5.6 4.6 711.65 1852 1038 12765692.82 7205634.95 4431691.65 "PROS" 0 0 0 0 0 0 0 0 0 0 1 74 0.181818181818182 0 0.0909090909090909 0.0909090909090909 0 0.0909090909090909 0.0909090909090909 0 0.0909090909090909 0.727272727272727 42.8181818181818 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Esplanada" "BA" 1 "Nordeste" 2910602 52.7 58.8 50 63.1 46.1 71.8 "291060" 16.3 15.4 16.7 20.8 20.7 23.9 40.3 29.5 54.4 3.7 3.1 1370.69 5814 4667 19220929.3 23916695.71 20977333.12 "PRB" 0 0 0 0 0 0 0 0 0 0 1 53 0.0769230769230769 0 0.153846153846154 0 0 0.0769230769230769 0 0 0.0769230769230769 1 40.6153846153846 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 0 1
"Tobias Barreto" "SE" 2 "Nordeste" 2807402 52.1 66.7 47.4 79.3 73.6 82.6 "280740" 21.1 20.5 21.3 25.5 23.9 30.2 46.6 34.6 63.1 4 2.9 1032.83 8346 6591 24475535.35 28205305.18 11943408.85 "PMDB" 1 0 0 0 0 0 0 0 0 0 1 61 0.133333333333333 0 0.2 0.0666666666666667 0 0.133333333333333 0.133333333333333 0 0.2 1 45.9333333333333 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1
"Piúma" "ES" 1 "Sudeste" 3204203 84.7 86 87 93.5 91.3 97.4 "320420" 14.9 12.6 16.5 21.4 21 23.3 27.9 19.9 41.9 5 4.2 73.5 1969 1180 13252467.71 11385009.26 11272726.96 "PDT" 0 0 0 0 0 1 0 0 0 0 0 51 0 0 0 0 0.0909090909090909 0 0 0 0.0909090909090909 0.545454545454545 43.1818181818182 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1
"Tijucas" "SC" 1 "Sul" 4218004 50.3 59.4 34.9 69 65.1 73.7 "421800" 20.9 20.9 20.8 23.6 23.3 26.6 16.3 11.9 24.8 5.8 4.5 276.62 1657 969 15662897.94 16452194.71 7511026.37 "PSD" 0 0 1 0 0 0 0 1 0 0 0 61 0.384615384615385 0 0.153846153846154 0.0769230769230769 0 0.0769230769230769 0.0769230769230769 0 0.230769230769231 0 43 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
"Uruguaiana" "RS" 1 "Sul" 4322400 66.4 65.8 66 92.4 82.2 98.9 "432240" 17.6 15.7 19.8 23 22.4 24 16.6 10.2 25.1 5.4 4.2 5715.78 13119 8047 38076382.14 49306088.5 21371383.35 "PP" 0 0 0 1 0 0 0 0 0 0 0 34 0.181818181818182 0.181818181818182 0.0909090909090909 0.272727272727273 0 0 0 0 0.272727272727273 0.0909090909090909 49.5454545454545 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Araripe" "CE" 4 "Nordeste" 2301307 30.2 34.6 36.1 76.9 73.6 83.3 "230130" 18.6 17.4 19.6 24.7 22.9 27.9 20.6 13.4 30 5.9 4.6 1347.05 4021 3481 14382662.37 18662781.41 8039053.76 "PR" 0 0 0 0 0 0 0 0 1 0 0 45 0.0909090909090909 0 0.0909090909090909 0 0 0.363636363636364 0 0 0.363636363636364 0.545454545454545 41.9090909090909 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
"Catu" "BA" 2 "Nordeste" 2907509 66.7 51.9 73.2 83.1 76.5 86.3 "290750" 16.4 17.4 15.9 22.5 21.6 25.8 32.4 20.3 49.3 4.7 3.3 439.57 7706 5584 26428777.71 20021682.61 14386824.31 "PT" 0 0 0 0 0 0 1 0 0 0 1 63 0 0.153846153846154 0.0769230769230769 0 0 0.0769230769230769 0.153846153846154 0.153846153846154 0.230769230769231 0.615384615384615 46.7692307692308 1 1 1 1 0 1 1 1 0 1 0 0 1 1 0 1 1 1 1
"Viamão" "RS" 5 "Sul" 4323002 66.3 33.3 66.7 86.2 76.6 95.3 "432300" 17.8 15.4 17.9 26.4 25.6 27.7 26.9 17.2 41 5.1 4 1494.26 19323 11159 55880397.27 99933884.18 37708630.81 "PSDB" 0 1 0 0 0 0 0 0 0 0 0 46 0.05 0.25 0.1 0.1 0.1 0.05 0.1 0.05 0.05 0.15 40.15 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1
"Logradouro" "PB" 1 "Nordeste" 2508554 66.7 100 62.5 72.2 80 66.7 "250855" 23.4 76 16.9 21 20.7 21.4 27.4 18.3 42 5.6 4.7 38 768 604 6884603.08 2893934.23 2208543.07 "PSB" 0 0 0 0 1 0 0 0 1 1 1 65 0 0 0.111111111111111 0 0.777777777777778 0 0 0.111111111111111 0.111111111111111 0.777777777777778 43.1111111111111 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1
"Cláudio" "MG" 1 "Sudeste" 3116605 98.2 100 97 90.6 90.4 91.4 "311660" 18.8 16.1 20.7 24.3 23.2 28.4 2.3 1.8 3.7 7 5.6 630.28 1589 805 16241222.01 10835447.09 6493857.26 "PRTB" 0 0 0 0 0 0 0 0 1 0 0 64 0.0909090909090909 0.0909090909090909 0 0 0.0909090909090909 0.0909090909090909 0 0 0.181818181818182 0.272727272727273 47.1818181818182 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0
"Brejinho de Nazaré" "TO" 1 "Norte" 1703701 76.9 80 75 83.3 73.7 100 "170370" 18 20 16.8 18.3 16.9 21.8 15 10.5 23.5 4.3 3.5 1724.44 903 629 5345322.29 3141648.93 2035152.47 "PSB" 0 0 0 0 1 0 0 0 0 1 0 59 0 0 0.111111111111111 0 0.111111111111111 0 0 0 0.333333333333333 1 36.4444444444444 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1
"Porto Seguro" "BA" 2 "Nordeste" 2925303 67.5 69.2 67.7 68.3 60.1 74.4 "292530" 16.6 17 16.5 23.1 22.1 26.5 30.3 23.9 39.7 4.4 3.5 2408.59 17823 12331 75812608.75 93476076.24 39695345.59 "PSD" 0 0 1 0 0 0 0 0 0 1 0 48 0.117647058823529 0 0.117647058823529 0.0588235294117647 0.0588235294117647 0 0.0588235294117647 0 0.117647058823529 0.705882352941177 44.8235294117647 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Anita Garibaldi" "SC" 1 "Sul" 4201000 100 100 100 93.5 92 100 "420100" 17.6 17 18.2 14.4 12.2 22.6 8.9 4 18.7 5.4 4.4 588.61 1079 779 5873586.98 3382237.23 4637675.54 "PR" 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0.111111111111111 0.111111111111111 0.333333333333333 0 0.222222222222222 0.111111111111111 0 0.111111111111111 49.8888888888889 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1
"São Pedro do Sul" "RS" 1 "Sul" 4319406 92.5 91.3 94.1 94.2 96.8 93.3 "431940" 14.8 12.4 16.4 13.3 14.1 12.4 10.7 5.1 18.9 5.7 4.8 873.59 1806 1139 10576773.04 6064335.93 3865965.59 "PP" 0 0 0 1 0 0 0 0 0 0 0 60 0.181818181818182 0 0.0909090909090909 0.0909090909090909 0 0 0.363636363636364 0.181818181818182 0.0909090909090909 0 46.4545454545455 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Moju" "PA" 1 "Norte" 1504703 57.5 57.9 56.7 64.6 58.4 67.7 "150470" 19.2 15.4 20 23.1 23.7 26.2 31 21.6 45.6 4.1 3.6 9093.85 11353 9286 24062427.79 70964118.89 25186986.61 "PSDB" 0 1 0 0 0 0 0 0 1 0 1 51 0.0666666666666667 0.2 0.0666666666666667 0 0 0 0.0666666666666667 0.133333333333333 0.333333333333333 0.933333333333333 43.4666666666667 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 0 0
"Araguaçu" "TO" 1 "Norte" 1702000 68.4 62.5 75 90.9 83.3 96.3 "170200" 14.2 13 15.1 21.3 19 28.1 14.5 5.3 25 6.1 5.4 5167.89 1465 946 5345322.29 4764659.35 2361546.49 "PRB" 0 0 0 0 0 0 0 0 0 0 1 58 0.111111111111111 0.222222222222222 0.111111111111111 0 0 0 0.111111111111111 0 0.222222222222222 0.888888888888889 49.2222222222222 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1
"Angelim" "PE" 1 "Nordeste" 2601003 33.3 0 40 75 72.5 77.1 "260100" 21.5 26.5 20.4 24.6 24.2 31.5 32.9 22.8 45.2 4 2.8 118.03 2077 1679 9679596.28 7021642.79 3840907.01 "PSB" 0 0 0 0 1 0 0 0 0 0 0 32 0 0.222222222222222 0.222222222222222 0 0.222222222222222 0 0.111111111111111 0.111111111111111 0 0.555555555555556 39.7777777777778 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Barro Alto" "BA" 3 "Nordeste" 2903235 46.4 25 62.5 84.1 77.8 87.7 "290323" 17.3 23.5 15.7 20.2 19.5 23.5 18.8 9.9 28.9 4.8 3.6 425.75 2580 2180 12013080.94 8020741.33 4618516.86 "PMDB" 1 0 0 0 0 0 0 0 0 0 1 52 0.111111111111111 0 0 0.222222222222222 0.111111111111111 0.111111111111111 0.222222222222222 0 0.111111111111111 0.888888888888889 42.4444444444444 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1
"Poção" "PE" 4 "Nordeste" 2611200 38.9 47.4 29.4 58.9 59.5 58.3 "261120" 17.7 16.1 19 28.7 27.7 37.7 28 18.9 41.6 4.9 2.9 199.74 2245 1933 9679596.28 8126222.79 4115161.85 "PMDB" 1 0 0 0 0 0 0 0 0 0 1 44 0.222222222222222 0 0.111111111111111 0 0.333333333333333 0 0 0 0.222222222222222 0.777777777777778 40 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1
"São Francisco de Assis do Piauí" "PI" 1 "Nordeste" 2209658 66.7 100 60 77.6 69 77.5 "220965" 15 20.7 13.1 16.5 16.2 15.1 35 26.4 47.4 3.3 4.1 842.45 1202 1055 5704351.74 4315456.1 2342103.31 "PP" 0 0 0 1 0 0 0 0 0 0 0 41 0 0.111111111111111 0.111111111111111 0.111111111111111 0.111111111111111 0 0.111111111111111 0.333333333333333 0.333333333333333 0.666666666666667 34.4444444444444 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1
"Soledade" "PB" 1 "Nordeste" 2516102 32.4 31.6 33.3 64 42.2 86.4 "251610" 20.9 27.6 18.3 18.2 18.9 22.7 26.4 20.3 36.8 4.5 3.2 560.06 2394 1831 11474338.21 6610191.45 4112689.16 "PP" 0 0 0 1 0 0 0 0 0 0 1 54 0.111111111111111 0.111111111111111 0 0 0 0 0 0 0.111111111111111 0.666666666666667 37.1111111111111 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 0 1 0 1
"Celso Ramos" "SC" 2 "Sul" 4204152 91.7 100 85.7 81.8 81.3 75 "420415" 19.4 19 19.8 15.9 17.5 14.5 12.9 4 21.8 6.5 4.8 207.41 324 220 5873586.98 1684136.31 3111732.04 "PSDB" 0 1 0 0 0 0 0 0 0 0 0 49 0.111111111111111 0.222222222222222 0.222222222222222 0 0.111111111111111 0.111111111111111 0.111111111111111 0 0.111111111111111 0 41.5555555555556 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1
"Ubatuba" "SP" 2 "Sudeste" 3555406 77.8 71.9 83.6 84.5 83.7 89.6 "355540" 22.1 24.2 20.2 22.7 22 28.4 8 7.4 11.4 5.6 4.6 712.12 7988 4773 30826597.34 43778948.52 20329071.77 "PSD" 0 0 1 0 0 0 0 0 0 0 0 46 0.2 0.2 0.1 0 0 0 0.1 0.1 0 0.2 48.5 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Chorrochó" "BA" 5 "Nordeste" 2907707 40 37.5 42.9 54.5 40.9 63.2 "290770" 16.2 14.2 18.6 21.2 22.3 23.7 29.1 19.9 39.4 4.1 3.6 2647.89 1975 1624 9610464.8 8952838.11 4320122.91 "PP" 0 0 0 1 0 0 0 0 0 0 1 50 0 0 0 0.111111111111111 0.111111111111111 0 0.111111111111111 0.111111111111111 0.333333333333333 0.666666666666667 40.3333333333333 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 0
"Madalena" "CE" 3 "Nordeste" 2307635 84.3 90.9 83.3 94.1 98.9 91.6 "230763" 15.3 13.6 16.3 18.3 18.5 19.1 23 15.4 31.2 5 4.2 1034.77 3425 2869 14382662.37 12732266.5 6486783.42 "PMDB" 1 0 0 0 0 0 0 0 0 1 1 41 0.1 0 0.1 0 0 0.1 0 0 0.1 0.8 44.7 1 0 1 1 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1
"Piçarra" "PA" 1 "Norte" 1505635 34.4 22.2 34.5 47.2 43.4 47.9 "150563" 14.9 20.2 13.1 17.4 22.7 19.8 32.6 23.2 46.1 4 3.5 3312.49 2282 1860 7403824.23 11197507.33 4775141.55 "PMDB" 1 0 0 0 0 0 0 0 0 0 1 33 0.375 0.125 0.125 0 0.125 0.125 0.125 0.125 0.125 1 40.75 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1
"Touros" "RN" 1 "Nordeste" 2414407 38.4 45.2 33.3 69.8 68.8 75 "241440" 18 17.8 18.2 21.1 19.7 24.9 35.3 23.4 53.8 4 3 839.35 5364 4291 18429619.75 20839339.99 9034620.37 "PP" 0 0 0 1 0 0 0 0 0 0 0 56 0 0.166666666666667 0.166666666666667 0 0.25 0 0 0.0833333333333333 0.25 0.416666666666667 39.0833333333333 1 1 1 1 1 1 1 0 0 1 0 0 0 1 1 1 1 1 1
"Denise" "MT" 2 "Centro-Oeste" 5103452 100 100 100 96.4 92.3 100 "510345" 16.8 14 18.3 18.4 20.3 16.8 1.3 1.2 1.5 5.1 4 1300.92 932 552 5576172.51 2727804.48 1972414.76 "PV" 0 0 0 0 0 0 0 0 0 1 0 54 0 0 0.333333333333333 0.111111111111111 0.111111111111111 0 0 0 0.222222222222222 0.444444444444444 44.3333333333333 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1
"Vitorino Freire" "MA" 1 "Nordeste" 2113009 31.2 36.5 27.9 53.1 46.1 56.9 "211300" 17.3 18.8 16 19.2 20.2 20.9 26 15.1 36.5 4.2 3.8 1122.7 5866 4869 15965287.44 28477626.16 11473878 "DEM" 0 0 0 0 0 0 0 0 0 1 0 28 0.153846153846154 0 0 0 0 0 0 0.307692307692308 0.230769230769231 0.615384615384615 42.2307692307692 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1
"Carnaíba" "PE" 1 "Nordeste" 2603900 85.4 87.5 84 75.4 73.6 77.3 "260390" 17.7 13.2 21.1 24.1 23.6 26.8 10.4 5.7 17.2 6.1 5 436.98 3670 3087 14519394.27 12816680.16 6334410.98 "PSB" 0 0 0 0 1 0 0 0 0 0 1 59 0 0 0 0 0.727272727272727 0.0909090909090909 0 0 0 1 44.8181818181818 0 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Pompéu" "MG" 1 "Sudeste" 3152006 53.5 40.3 70.4 92 90.5 100 "315200" 15.2 12.9 17.2 21.7 20.7 27 5.2 1.4 21.1 6.3 4.1 2557.73 3076 1954 18561396.58 9883818.96 7012717.49 "PRB" 0 0 0 0 0 0 0 1 0 0 1 42 0.222222222222222 0 0 0.111111111111111 0.111111111111111 0 0 0 0.111111111111111 0.444444444444444 43.5555555555556 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 0
"Mundo Novo" "BA" 3 "Nordeste" 2922102 58.1 16.7 71.9 62 60.5 64.5 "292210" 22.4 22.3 22.5 21.4 20.4 24.5 24 20.4 31.1 4.4 4.5 1496.14 4481 3671 16818313.17 13425080.16 6970815.41 "PSB" 0 0 0 0 1 0 0 0 0 0 0 43 0.272727272727273 0.0909090909090909 0.272727272727273 0.0909090909090909 0.0909090909090909 0 0 0 0.181818181818182 0.636363636363636 48.3636363636364 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Caridade do Piauí" "PI" 1 "Nordeste" 2202554 87 72.7 85.7 93.2 92.3 92.3 "220255" 18.2 15.5 22.6 20.7 19.3 22.6 29 25.3 33.8 4 3.3 423.37 917 797 5704351.74 4455144.89 2375505.02 "PSD" 0 0 1 0 0 0 0 0 0 0 1 34 0 0.111111111111111 0.333333333333333 0.333333333333333 0 0.111111111111111 0 0 0.111111111111111 0.777777777777778 37 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1
"Miguel Alves" "PI" 5 "Nordeste" 2206209 14.1 0 15.4 27.5 26.5 33.1 "220620" 21 21.3 20.9 20.1 18.8 23.1 46 34.4 63.5 3.4 3.1 1393.71 5825 4949 15211604.19 25857529.6 9903824.53 "PT" 0 0 0 0 0 0 1 0 0 0 1 47 0.0833333333333333 0.0833333333333333 0.166666666666667 0.0833333333333333 0.0833333333333333 0 0.0833333333333333 0.333333333333333 0.166666666666667 0.75 45 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1
"Venâncio Aires" "RS" 1 "Sul" 4322608 95.3 100 92.2 93.9 89.6 97.3 "432260" 17.4 17.4 17.5 17.4 17.7 20.5 21.5 12.3 34.8 5.9 4.3 773.24 4546 2461 25384254.86 20885613.16 10889417.33 "PSB" 0 0 0 0 1 0 0 0 0 0 0 37 0.2 0 0.133333333333333 0.0666666666666667 0.133333333333333 0.2 0 0.0666666666666667 0.266666666666667 0.0666666666666667 45.1333333333333 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1
"Unaí" "MG" 2 "Sudeste" 3170404 81.1 80.2 83.7 81.3 84.9 80.6 "317040" 20.1 18.6 21 23.6 23 24.5 7.6 2.3 13.7 5.7 4.4 8463.58 7778 4741 32482443.74 21338826.38 13045398.28 "PSDB" 0 1 0 0 0 0 0 0 0 0 0 61 0.133333333333333 0.0666666666666667 0.0666666666666667 0 0.0666666666666667 0.0666666666666667 0 0.133333333333333 0.133333333333333 0.466666666666667 45.0666666666667 1 1 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 0
"Além Paraíba" "MG" 1 "Sudeste" 3101508 77.6 77.1 78.8 85.1 80.8 100 "310150" 19.1 17.8 20 22.5 22.2 29.6 11.7 8.9 22.8 5.6 5.1 511.2 3304 1837 18561396.58 9997389.29 6992249.73 "DEM" 0 0 0 0 0 0 0 1 0 0 1 34 0 0.0769230769230769 0.0769230769230769 0 0 0.153846153846154 0 0 0.0769230769230769 0.461538461538462 52.1538461538462 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1
