"municipality" "state" "obras" "region" "ibge_code7" "dsu_inf" "dsu_cre" "dsu_pre" "dsu_fun" "dsu_ai" "dsu_af" "ibge_code" "atu_inf" "atu_cre" "atu_pre" "atu_fun" "atu_ai" "atu_af" "tdi_fun" "tdi_ai" "tdi_af" "ideb_ai_2015" "ideb_af_2015" "area" "low_income_families2010" "poor_families2010" "transfers_fpm2016" "transfers_fundeb2016" "transfers_total2016" "partymayor" "partymayorpmdb" "partymayorpsdb" "partymayorpsd" "partymayorpp" "partymayorpsb" "partymayorpdt" "partymayorpt" "profprofessormayor" "lameduckmayor" "femalemayor" "nonwhitemayor" "agemayor" "avgpartycouncilorpmdb" "avgpartycouncilorpsdb" "avgpartycouncilorpsd" "avgpartycouncilorpp" "avgpartycouncilorpsb" "avgpartycouncilorpdt" "avgpartycouncilorpt" "avgprofprofessorcouncilor" "avgfemalecouncilor" "avgnonwhitecouncilor" "avgagecouncilor" "vtreataic_940_95" "vtreataic_944_52" "vtreataic_946_29" "vtreataic_944_15" "vtreataic_944_39" "vtreataic_942_13" "vtreataic_940_2" "vtreataic_942_67" "vtreataic_937_41" "vtreataic_941_05" "vtreataic_936_98" "vtreataic_942_44" "vtreataic_945_24" "vtreataic_938" "vtreataic_944_86" "vtreataic_945_14" "vtreataic_944_62" "vtreataic_945_47" "vtreataic_939_93"
"Itaberaí" "GO" 1 "Centro-Oeste" 5210406 80 81.8 78.6 85.1 83.1 85.7 "521040" 24.8 24.3 25.1 28.7 28 30.9 9.3 5.3 15.9 6.4 4.9 1471.17 3468 1877 19148539.17 16007668.43 8204989.46 "PP" 0 0 0 1 0 0 0 0 0 0 0 51 0 0 0 0.230769230769231 0.0769230769230769 0.0769230769230769 0 0 0.153846153846154 0.307692307692308 48.9230769230769 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1
"Montes Claros" "MG" 6 "Sudeste" 3143302 91.3 92.2 91.7 94.1 91.5 98.4 "314330" 18.6 17.4 19.5 23.4 22.5 25.7 12.2 6.1 22.5 5.9 4.9 3582.03 38924 24123 64501232.22 102443028.23 42012837.63 "PPS" 0 0 0 0 0 0 0 0 0 0 0 82 0.130434782608696 0.0434782608695652 0.0434782608695652 0.0869565217391304 0 0.0434782608695652 0.0434782608695652 0 0.130434782608696 0.739130434782609 47.8695652173913 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1
"Paragominas" "PA" 2 "Norte" 1505502 89.4 90.9 87.3 91.6 91.3 90.5 "150550" 24.1 19.9 25.5 30.6 31.4 36.9 27.9 19.5 40.1 5.2 4.1 19330.52 13671 9836 29615295.78 78911493.88 37397416.71 "PSDB" 0 1 0 0 0 0 0 0 1 0 1 51 0.0769230769230769 0.0769230769230769 0.0769230769230769 0.0769230769230769 0.0769230769230769 0.0769230769230769 0 0.0769230769230769 0.384615384615385 0.538461538461538 45.1538461538462 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1
"Pedra Branca" "CE" 2 "Nordeste" 2310506 50.9 54.3 47.1 60.8 52.1 70.5 "231050" 19.4 20.9 18.4 21.1 20.6 21.9 7.2 3.1 11.6 6.2 4.4 1303.27 8346 6844 21573993.34 26999898.25 11812888.58 "PRP" 0 0 0 0 0 0 0 0 0 0 0 69 0.384615384615385 0.230769230769231 0 0 0 0 0 0.0769230769230769 0.153846153846154 0.384615384615385 42.2307692307692 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1
"Acopiara" "CE" 2 "Nordeste" 2300309 34.5 37.9 36.5 44.5 46.1 43 "230030" 24.5 27.4 23.1 20 20.5 22.1 10.1 3.3 17.9 6 5.4 2265.32 10350 8254 26368214.05 32672965.96 14313065.41 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 59 0.2 0.133333333333333 0.0666666666666667 0.0666666666666667 0 0.2 0 0 0.266666666666667 0.4 45.8666666666667 1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1
"Iuiú" "BA" 1 "Nordeste" 2917334 65.9 54.2 80 70.9 62.8 79.1 "291733" 14.9 13.6 15.8 21.8 21.1 29 25.5 19.2 34.1 4.2 3.4 1095.72 1962 1563 9610464.8 7960307.3 4074795.74 "PSD" 0 0 1 0 0 0 0 0 0 0 1 43 0 0 0.555555555555556 0.111111111111111 0 0.111111111111111 0.111111111111111 0.222222222222222 0.111111111111111 0.777777777777778 37.3333333333333 0 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 0 1
"Buriticupu" "MA" 2 "Nordeste" 2102325 4.5 1.8 5.2 13.2 13.4 15.6 "210232" 23 24.1 22.8 25.6 27.5 29.5 21.6 12.8 33 4.2 3.6 2544.98 11918 10194 23947931.04 56386522.52 21097997.54 "PRB" 0 0 0 0 0 0 0 0 1 0 0 48 0 0 0 0 0 0 0 0.133333333333333 0.2 0.733333333333333 47.4666666666667 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Patos" "PB" 3 "Nordeste" 2510808 74.1 80.2 64.5 75.8 63.9 89.3 "251080" 22.2 22.6 21.8 23.9 23.5 26 20.2 13.3 31.6 4.8 3.8 512.79 14918 10469 36717881.65 32747335.64 15963806.88 "PSDB" 0 1 0 0 0 0 0 0 0 0 1 39 0.235294117647059 0.0588235294117647 0 0 0.0588235294117647 0 0 0.0588235294117647 0.294117647058824 0.352941176470588 44.4705882352941 0 1 1 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1
"Betânia do Piauí" "PI" 3 "Nordeste" 2201739 89.5 100 88.9 93.6 93.3 94.3 "220173" 18.2 19 18 17.6 16.6 23.1 34.1 26.1 46.8 4.2 3.5 1092.31 1248 1095 5704351.74 5796865.23 2712723.62 "PP" 0 0 0 1 0 0 0 0 0 0 0 33 0 0 0.111111111111111 0.333333333333333 0.222222222222222 0.222222222222222 0 0.222222222222222 0.222222222222222 0.333333333333333 38.2222222222222 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1
"Nova Ponte" "MG" 1 "Sudeste" 3145000 26.5 23.1 28.6 61.3 47.1 81.4 "314500" 17.9 15.6 19.5 24.9 23.1 28.5 4.1 3.8 4.5 7.3 7 1105.77 1103 564 11600872.94 7569338.9 5466235.3 "PSB" 0 0 0 0 1 0 0 0 0 0 0 52 0 0 0 0.222222222222222 0.333333333333333 0 0 0 0 0.333333333333333 43.8888888888889 0 1 1 0 1 1 1 0 1 1 1 0 1 1 0 1 1 0 0
"Vila Nova do Piauí" "PI" 1 "Nordeste" 2211605 100 100 100 94.9 93.8 100 "221160" 15.2 13.8 18 20.2 18.4 22.4 21.8 7.1 36.9 5.7 5.4 167.96 689 603 5704351.74 2015184.6 1759900.05 "PTB" 0 0 0 0 0 0 0 1 0 0 0 44 0.111111111111111 0 0.111111111111111 0.222222222222222 0.555555555555556 0 0 0.222222222222222 0.222222222222222 0.666666666666667 40 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1
"Caraguatatuba" "SP" 2 "Sudeste" 3510500 97.7 97 97.7 98.7 98.2 99.6 "351050" 25.4 26.7 24.1 26.7 26.6 27.1 6.2 4 10.3 6.2 5.1 483.95 8579 4882 35230396.95 76022044.2 56730654.08 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 36 0.133333333333333 0.133333333333333 0.0666666666666667 0.2 0.133333333333333 0 0 0 0.133333333333333 0.2 44.8 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1
